ID_Cartao,Produto_Mastercard,Tipo_Cartao,Data_Emissao,Data_Ativacao,Data_Validade,Limite_Cartao
55086184,Gold,Crédito,2023-01-01 00:00:20,2023-01-01 04:17:14,2026-04-29,12000.0
58484163,Black,Crédito,2023-05-26 00:00:20,2024-01-28 03:17:10,2026-01-17,39000.0
61292792,Black,Crédito,2023-01-19 00:00:20,2024-02-22 09:19:41,2027-04-06,30000.0
58892511,Platinum,Crédito,2023-01-08 00:00:20,2023-01-08 02:52:55,2025-11-01,26000.0
99255972,Maestro/Debit,Débito,2023-06-20 00:00:20,2024-02-20 03:57:36,2027-01-31,0.0
96313857,Gold,Crédito,2023-01-02 00:00:20,2023-01-02 10:57:31,2026-10-09,15000.0
53280929,Maestro/Debit,Débito,2023-06-19 05:01:16,2023-06-20 05:01:16,2028-01-01,0.0
74981442,Platinum,Crédito,2024-04-27 00:00:20,2024-04-27 12:06:01,2025-02-28,17000.0
55129439,Black,Crédito,2023-02-06 00:00:20,2023-03-03 06:04:21,2025-11-13,37000.0
97765146,Gold,Crédito,2023-03-12 00:00:20,2024-06-12 06:39:19,2026-01-07,22000.0
18889057,Platinum,Crédito,2024-02-03 00:00:20,2024-02-03 23:10:36,2026-08-11,13000.0
55526914,Maestro/Debit,Débito,2024-09-04 00:00:20,2024-09-15 16:05:27,2027-12-08,0.0
80929712,Black,Crédito,2023-01-01 00:00:20,2023-01-17 04:41:38,2027-09-07,26000.0
29753106,Platinum,Crédito,2024-07-27 00:00:20,2024-07-27 10:18:34,2026-10-17,16000.0
44320574,Black,Crédito,2023-01-18 00:00:20,2023-01-18 04:08:22,2025-12-21,32000.0
84224141,Platinum,Crédito,2024-04-07 00:00:20,2024-04-07 05:01:33,2027-09-18,12000.0
13669529,Standard,Crédito,2023-01-10 00:00:20,2023-01-10 06:46:49,2027-05-20,16000.0
80673046,Platinum,Crédito,2023-01-13 00:00:20,2023-01-13 03:30:58,2025-03-23,25000.0
50155438,Platinum,Crédito,2023-11-16 00:00:20,2024-05-15 23:41:19,2027-08-25,35000.0
33342335,Platinum,Crédito,2023-07-19 00:00:20,2023-07-19 00:04:34,2028-01-01,23000.0
10848728,Platinum,Crédito,2023-01-03 00:00:20,2023-01-03 05:49:43,2026-02-25,28000.0
97184416,Standard,Crédito,2023-01-02 00:00:20,2023-01-15 18:34:45,2025-09-21,9000.0
78594110,Standard,Crédito,2023-11-22 00:00:20,2024-08-08 19:11:39,2028-01-01,18000.0
26812306,Maestro/Debit,Débito,2023-01-06 00:00:20,2023-01-06 03:42:57,2025-06-27,0.0
62809263,Standard,Crédito,2023-01-24 00:00:20,2023-01-24 15:53:44,2026-12-23,9000.0
56491773,Platinum,Crédito,2023-01-11 00:00:20,2023-01-20 12:30:22,2027-01-23,16000.0
14178682,Gold,Crédito,2023-01-01 00:00:20,2023-01-19 09:30:26,2027-10-14,23000.0
51737308,Platinum,Crédito,2023-01-02 00:00:20,2023-01-21 12:36:55,2027-10-21,26000.0
45848066,Platinum,Crédito,2023-01-09 00:00:20,2023-01-11 09:58:05,2027-05-01,21000.0
14175253,Maestro/Debit,Débito,2023-08-19 00:00:20,2024-12-25 06:57:35,2026-05-05,0.0
65472462,Black,Crédito,2023-01-03 00:00:00,2023-06-28 17:20:43,2028-01-01,14000.0
28269540,Maestro/Debit,Débito,2023-10-05 00:00:20,2024-11-10 16:20:49,2026-03-28,0.0
43574226,Platinum,Crédito,2023-01-05 00:00:20,2023-01-05 10:18:49,2026-10-26,20000.0
59445733,Platinum,Crédito,2023-01-14 00:00:20,2023-01-21 02:06:34,2027-03-15,27000.0
80829423,Gold,Crédito,2023-01-10 00:00:20,2023-01-14 13:07:19,2025-06-10,13000.0
89984121,Standard,Crédito,2024-07-07 00:00:20,2024-07-07 17:03:24,2027-06-29,21000.0
60841740,Gold,Crédito,2023-06-02 00:00:20,2024-10-30 23:10:11,2027-06-21,20000.0
96974017,Gold,Crédito,2023-01-05 00:00:00,2023-01-22 10:46:15,2028-01-01,17000.0
29894095,Black,Crédito,2023-01-26 00:00:00,2023-06-03 21:21:28,2028-01-01,27000.0
23052099,Gold,Crédito,2023-01-06 00:00:20,2023-01-15 09:36:39,2026-01-09,13000.0
14389794,Black,Crédito,2024-09-20 00:00:20,2025-06-12 18:32:58,2027-06-06,23000.0
91784421,Standard,Crédito,2023-01-03 00:00:20,2023-01-03 15:28:24,2026-02-22,10000.0
10331796,Gold,Crédito,2023-01-02 00:00:20,2023-01-02 09:09:52,2026-10-08,20000.0
44523666,Gold,Crédito,2023-01-26 00:00:20,2023-01-26 17:36:01,2026-07-23,22000.0
