Cliente_ID,Data_Abertura_Conta_Inv,Data,Valor_Aplicado,Saldo_Atual,Produto_Investimento,Data_de_vencimento
5274,202407,202510,1819.72,6731.67,Tesouro Direto,202809
8056,202302,202309,1914.76,48898.65,Reservinha,299901
6607,202309,202309,3486.59,0.0,Renda Fixa,203012
2722,202309,202402,6449.19,26183.68,Reservinha,299901
3276,202302,202304,1993.01,55896.84,Reservinha,299901
4801,202303,202508,1005.25,4704.3,Tesouro Direto,202702
9000,202301,202306,1185.83,0.0,Renda Fixa,202904
2201,202303,202309,2042.58,3555.39,Renda Variavel,202512
5127,202301,202503,2.28,14704.13,Renda Variavel,202912
7781,202304,202304,3284.63,0.0,Tesouro Direto,202806
8843,202308,202311,3518.13,51350.19,Reservinha,299901
4975,202405,202503,2402.38,0.0,Renda Variavel,202409
3779,202412,202501,234.34,0.0,Reservinha,299901
1323,202302,202402,644.81,20219.12,Renda Variavel,203210
1199,202504,202511,2109.27,5439.4,Reservinha,299901
7587,202311,202404,2128.74,606.82,Renda Variavel,203212
5003,202301,202503,1234.09,7692.11,Tesouro Direto,202810
9658,202401,202402,5741.81,50316.87,Reservinha,299901
8521,202301,202301,1342.08,0.0,Reservinha,299901
2084,202301,202312,1148.33,33721.76,Reservinha,299901
2842,202307,202403,2023.13,0.0,Renda Fixa,202807
1729,202301,202501,4465.82,73724.38,Renda Fixa,203404
1547,202501,202505,2623.12,8133.06,Reservinha,299901
8478,202302,202407,1816.09,4136.5,Reservinha,299901
8921,202301,202504,2651.45,15030.32,Reservinha,299901
9489,202309,202410,7705.34,35872.74,Renda Fixa,202501
5633,202310,202408,2621.46,0.0,Reservinha,299901
6038,202302,202410,901.68,20165.57,Reservinha,299901
7259,202304,202305,1229.72,4099.44,Tesouro Direto,203308
8178,202302,202409,1370.72,10312.83,Reservinha,299901
7818,202303,202512,114.83,2233.44,Reservinha,299901
9489,202309,202411,5448.19,31328.15,Tesouro Direto,203112
4819,202411,202505,5700.06,70085.79,Reservinha,299901
3087,202311,202411,5238.77,24821.11,Tesouro Direto,202501
9504,202301,202307,939.05,7061.88,Reservinha,299901
9721,202304,202311,968.29,4076.38,Tesouro Direto,203110
3422,202301,202312,2992.17,31287.46,Reservinha,299901
8987,202301,202406,149.74,713.84,Renda Variavel,202710
7609,202304,202404,3856.29,20076.05,Reservinha,299901
6337,202301,202506,745.82,6521.24,Reservinha,299901
3276,202302,202409,1488.35,93851.52,Reservinha,299901
4237,202303,202311,2687.43,1713.72,Renda Fixa,202707
2272,202303,202307,6374.78,25738.67,Tesouro Direto,203006
5482,202503,202506,5286.63,12413.27,Renda Fixa,202901
7655,202302,202512,1274.86,31133.28,Reservinha,299901
1275,202301,202306,2299.04,0.0,Reservinha,299901
1727,202403,202406,8950.99,0.0,Reservinha,299901
5597,202409,202412,3645.14,54.02,Renda Variavel,203104
9507,202309,202403,1709.5,1909.68,Tesouro Direto,202811
1875,202408,202504,3147.74,0.0,Renda Fixa,203112
1902,202301,202510,149.73,108294.06,Reservinha,299901
2019,202301,202404,-24.63,2916.59,Reservinha,299901
5734,202302,202309,2896.54,54312.51,Reservinha,299901
4801,202303,202504,902.11,2624.94,Renda Variavel,203408
9257,202302,202311,2470.9,4259.2,Renda Variavel,203212
2733,202303,202506,1982.4,3902.89,Tesouro Direto,203207
7698,202306,202409,3282.52,63102.59,Reservinha,299901
5861,202301,202308,1116.41,0.0,Tesouro Direto,202705
7973,202312,202508,459.33,16279.59,Reservinha,299901
2012,202405,202405,2665.32,34080.0,Reservinha,299901
4067,202301,202407,719.29,0.0,Reservinha,299901
5394,202302,202412,4778.34,44893.68,Renda Variavel,203003
4268,202301,202412,86.42,3387.03,Renda Variavel,203312
7590,202301,202306,790.88,147.14,Renda Fixa,203103
9508,202301,202504,1956.08,32931.3,Reservinha,299901
2833,202301,202511,2178.16,31057.22,Reservinha,299901
8690,202301,202504,1821.49,82837.23,Reservinha,299901
6848,202301,202502,766.5,6693.09,Renda Fixa,203501
5239,202301,202503,2804.82,12879.78,Reservinha,299901
9507,202309,202411,2246.44,15104.22,Renda Fixa,202709
3658,202311,202504,514.15,2546.31,Renda Variavel,202901
3269,202301,202301,289.9,0.0,Renda Fixa,203211
7781,202304,202508,416.95,27325.61,Renda Fixa,203106
4896,202303,202406,-1930.63,109771.73,Reservinha,299901
8169,202307,202508,-19763.41,19763.41,Renda Variavel,202508
1792,202301,202408,578.04,52623.36,Tesouro Direto,203107
8565,202301,202510,406.5,25647.92,Reservinha,299901
1269,202301,202508,1549.66,24883.46,Renda Fixa,202512
