Cliente_ID,Valor,Data,Pix_para_si_mesmo,Tipo_transacao,Aprovado,PF_PJ,Agendado
7569,196.12,2024-12-11 02:33:21.472017408,0,Envio,1,PJ,Não
9600,858.0,2023-11-04 20:28:18.546737152,0,Recebimento,1,PJ,Não
2304,114.58,2024-11-12 09:10:00.126503424,0,Envio,1,PJ,Não
4287,207.0,2023-03-10 14:20:07.594432256,0,Envio,1,PF,Não
8478,217.0,2024-05-19 22:54:42.750976512,0,Envio,1,PJ,Não
1697,1940.58,2025-08-28 18:03:15.379390720,0,Envio,0,PJ,Não
7815,40.0,2025-10-04 02:49:04.019344384,0,Envio,0,PF,Não
3467,1.0,2023-02-02 04:09:27.083034112,1,Envio,1,PF,Não
6848,117.08,2023-12-03 11:05:34.981115136,0,Recebimento,1,PJ,Não
7122,457.55,2023-10-11 22:17:52.858983936,0,Recebimento,1,PF,Não
6039,994.0,2025-10-01 08:25:31.006266624,0,Recebimento,1,PJ,Não
9169,562.0,2025-12-01 19:41:00.266926336,1,Envio,1,PF,Não
3818,132.0,2024-07-03 04:09:56.086112256,0,Envio,1,PJ,Não
5971,548.0,2025-10-31 12:27:31.557954048,1,Envio,1,PF,Não
4274,4.16,2024-10-23 15:14:04.632916736,0,Recebimento,1,PF,Não
4308,239.74,2023-09-24 11:48:44.687893760,0,Envio,1,PJ,Não
2899,870.0,2025-11-28 13:42:17.644754688,0,Envio,1,PF,Não
8656,306.0,2025-09-11 13:12:39.708169728,1,Envio,0,PF,Não
8227,26.0,2024-07-02 07:22:19.276981248,1,Envio,1,PF,Não
9525,22.34,2023-11-28 00:18:57.899531264,0,Envio,0,PJ,Não
9099,3.07,2023-11-21 19:38:47.159465216,0,Envio,1,PJ,Não
9241,55.0,2023-09-25 15:15:06.132439296,0,Envio,1,PF,Não
9585,324.0,2025-12-19 00:58:13.036093696,0,,1,PJ,Não
9794,13.0,2023-11-29 00:31:55.577625088,1,Envio,1,PF,Não
5020,36.0,2024-09-04 23:48:20.484121856,0,Envio,1,PJ,Não
5259,81.78,2024-07-26 12:02:16.690132480,0,Recebimento,0,PF,Não
4710,-500.0,2024-12-18 13:58:26.290032384,0,Envio,1,PF,Não
2559,728.49,2023-10-24 22:10:43.586827776,0,Envio,0,PJ,Não
6263,12.16,2024-04-21 20:39:12.556457728,0,Envio,0,PF,Não
7788,94.04,2023-02-15 06:07:35.962023680,0,Envio,1,PJ,Sim
7626,202.01,2023-02-26 07:18:43.184644352,1,Envio,0,PF,Não
1191,938.0,2024-03-18 19:49:19.302342144,0,Envio,0,PJ,Não
5597,221.16,2023-10-28 13:21:04.668609536,0,Envio,1,PF,Não
1885,136.0,2025-11-24 18:50:26.648741120,0,Envio,1,PJ,Não
7579,1412.0,2025-08-01 12:36:08.259900672,1,Envio,1,PF,Não
4957,409.0,2025-09-19 10:58:53.534277632,0,Envio,1,PJ,Não
6451,304.0,2024-05-05 14:43:11.560409856,0,Envio,1,PJ,Não
4017,15.0,2023-11-27 20:43:27.312694272,0,Envio,1,PJ,Não
1439,241.0,2024-07-29 06:31:38.546511104,0,Envio,1,PF,Não
5412,95.52,2024-01-30 18:35:28.422816768,0,Envio,1,PJ,Não
4154,439.63,2023-07-24 14:30:41.068939008,1,Recebimento,1,PF,Não
6724,273.51,2024-08-12 14:58:48.872008704,0,Envio,1,PF,Não
6506,16.0,2024-03-16 21:17:19.448193536,1,Envio,1,PF,Sim
3275,473.0,2024-09-09 09:24:42.522393856,0,Envio,0,PJ,Não
4686,1715.95,2025-09-28 06:09:30.659803136,0,Envio,1,PJ,Não
6518,4805.0,2025-09-06 00:20:02.505881344,0,Envio,1,PJ,Não
2927,1706.05,2025-11-22 10:25:18.236474112,0,Envio,0,PJ,Não
1668,222.0,2023-03-15 15:09:02.486248448,0,Envio,1,PF,Não
5591,154.0,2024-04-29 15:25:55.097642752,0,Envio,1,PF,Não
1376,46.1,2023-02-26 21:49:51.446469376,0,Envio,1,PF,Não
7917,1090.0,2023-10-15 14:56:38.852979456,0,Envio,0,PJ,Não
4714,11.0,2023-06-24 00:40:39.976905728,0,Envio,1,PJ,Não
9445,501.0,2023-02-06 13:52:02.057807872,1,Recebimento,1,PF,Não
4392,449.0,2023-08-23 06:58:04.091560448,0,Envio,1,PF,Não
7898,1182.0,2023-04-08 17:57:50.590168064,0,Envio,1,PJ,Não
6466,105.87,2023-01-26 16:36:35.886114816,0,Envio,1,PF,Não
4686,414.0,2023-11-05 12:31:02.453904640,0,Envio,1,PJ,Não
9483,102.0,2023-04-01 17:37:20.624982016,0,Envio,1,PJ,Não
5324,245.0,2024-05-30 13:22:19.510214400,0,Envio,0,PJ,Não
4248,11.67,2023-06-13 15:04:30.135929856,0,Envio,1,PJ,Não
8811,187.0,2024-09-20 13:23:58.643498496,0,Envio,1,PJ,Não
2371,72.35,2025-08-17 21:53:48.770650624,0,Envio,1,PJ,Não
4182,173.0,2023-02-23 23:35:37.235403520,0,Envio,1,PJ,Não
7315,11.0,2023-06-02 19:10:18.447389440,1,Recebimento,1,PF,Não
3195,477.16,2025-08-18 17:15:57.738942464,0,Envio,1,PJ,Não
