ID_Transacao,Data,Valor_Compra,Industria,Tipo_Compra,Qtd_Parcelas,Wallet,Cliente_ID,ID_Cartao,Input_Mode,Input_Mode_Code,Crossborder,Contactless
1,2023-09-26 03:27:30,51.96,Varejo,CP,12.0,,9280,55086184,Swiped,59,,
2,2025-07-05 10:22:16,408.34,Alimentação,CP,,,2305,61292792,Chip,54,,
3,2025-10-30 16:33:45,556.98,Alimentação,CP,,,5439,58892511,PayPass,51,,
4,2025-11-05 00:17:05,510.46,Tecnologia,CP,,,9682,99255972,Chip,54,,1.0
5,2025-02-27 17:52:00,698.35,Tecnologia,CP,12.0,Apple Pay,4928,96313857,PayPass,51,,0.0
6,2023-09-26 03:04:43,129.36,Varejo,CP,,,9904,55129439,Chip,54,,
7,2025-01-26 09:51:34,1162.53,Alimentação,CP,,,5107,55526914,Swiped,59,,
8,2023-10-07 06:15:11,758.78,Varejo,CNP,,,5995,80929712,Phone Order,35,,
9,2023-12-07 00:09:11,899.74,Varejo,CP,,Apple Pay,6655,44320574,Swiped,59,,
10,2025-02-26 13:49:19,472.66,Educação,CNP,,,4291,84224141,Recurring,36,,
11,2023-12-23 14:09:17,54.11,Alimentação,CP,7.0,,7141,13669529,Swiped,59,,0.0
12,2025-04-12 16:15:02,149.96,Varejo,CNP,,,8807,80673046,MasterPass,39,,
13,2023-03-29 05:31:02,1059.77,Educação,CP,,,2820,10848728,PayPass,51,,
14,2023-04-16 21:48:44,126.25,Educação,CNP,,,8828,97184416,Mail Order,32,,
15,2023-11-16 01:46:49,279.79,Saúde,CNP,,,6808,26812306,MasterPass,39,,
16,2025-08-11 09:51:38,298.95,Entretenimento,CP,6.0,Apple Pay,1350,62809263,Swiped,59,,
17,2025-03-06 02:22:50,794.59,Alimentação,CNP,,,4716,56491773,Recurring,36,,
18,2023-04-09 15:50:27,239.62,Varejo,CNP,,,1728,14178682,Recurring,36,0.0,
19,2025-02-13 14:16:50,465.77,Varejo,CP,,,7080,51737308,Swiped,59,,
20,2023-05-17 03:27:18,914.95,Alimentação,CP,,,3213,45848066,Swiped,59,,1.0
21,2023-11-28 21:22:33,496.24,Varejo,CP,4.0,,6677,65472462,Chip,54,,
22,2025-03-07 14:21:41,488.41,Alimentação,CNP,,,7474,28269540,Mail Order,32,,
23,2025-03-14 22:03:45,521.15,Alimentação,CP,,Samsung Pay,4409,43574226,PayPass,51,,
24,2025-02-11 06:00:48,485.2,Varejo,CP,,,8661,59445733,Swiped,59,,0.0
25,2023-06-19 17:14:49,1155.92,Varejo,CP,8.0,,3506,80829423,Swiped,59,,1.0
26,2025-04-07 15:46:54,165.87,Tecnologia,CNP,,,4291,84224141,MasterPass,39,,
27,2023-09-27 20:00:33,324.05,Alimentação,CNP,,,3321,96974017,Recurring,36,,
28,2023-04-24 03:52:31,34.35,Alimentação,CP,,Samsung Pay,6051,29894095,Swiped,59,,
29,2023-06-18 23:04:32,217.56,Educação,CP,8.0,,8383,23052099,Swiped,59,,0.0
30,2025-01-29 16:22:24,966.08,Varejo,CNP,,,6513,91784421,Phone Order,35,,
31,2025-04-07 09:11:36,979.55,Alimentação,CP,,,7379,10331796,Swiped,59,,1.0
32,2025-01-22 01:23:17,848.98,Varejo,CP,,Apple Pay,8408,44523666,Chip,54,,
33,2025-02-18 06:39:52,34.73,Tecnologia,CP,,,5861,58094600,Swiped,59,,
34,2023-05-24 22:36:30,723.47,Entretenimento,CP,11.0,,9657,35597642,Swiped,59,,
35,2025-09-09 00:08:03,475.85,Alimentação,CP,,,9502,48815486,Swiped,59,,
36,2025-04-12 21:04:57,1145.72,Alimentação,CNP,,,1519,34923446,Phone Order,35,,
37,2025-05-07 11:23:44,367.63,Alimentação,CNP,,,1248,26833804,Phone Order,35,,
38,2023-05-08 10:51:35,1105.6,Varejo,CNP,,,3593,44154544,eCommerce,38,,
39,2023-11-28 12:06:23,536.11,Tecnologia,CP,,,6030,58451006,PayPass,51,,
40,2025-02-16 21:20:15,402.54,Alimentação,CP,11.0,,9259,59859685,Swiped,59,,
41,2023-03-22 11:08:49,528.75,Varejo,CP,,Apple Pay,7724,51683126,PayPass,51,,
42,2025-03-24 22:24:06,248.97,Alimentação,CP,,,7420,85992827,Swiped,59,,
43,2023-11-25 10:49:48,1117.25,Alimentação,CP,,Apple Pay,1407,33577314,PayPass,51,,
44,2023-06-22 14:21:34,685.72,Varejo,CP,5.0,,8313,19012386,PayPass,51,,
45,2025-04-29 15:50:19,1179.0,Tecnologia,CP,10.0,,4828,49264947,Chip,54,,
46,2025-02-14 20:04:34,1110.84,Varejo,CP,3.0,,1323,90983788,Swiped,59,,
47,2025-10-30 05:50:05,1163.25,Alimentação,CP,3.0,,1480,91754025,Swiped,59,,1.0
48,2023-12-28 04:35:49,841.64,Tecnologia,CP,2.0,,1475,23269369,PayPass,51,,
49,2025-05-25 00:42:08,1139.85,Alimentação,CNP,,,7027,68109886,Mail Order,32,,
50,2023-06-24 00:13:58,662.08,Alimentação,CP,,Apple Pay,2808,54159120,Swiped,59,,
51,2023-12-14 02:11:57,993.19,Saúde,CP,,Google Pay,9303,25120330,Chip,54,,
52,2023-04-27 16:37:19,958.33,Varejo,CP,,,2217,71359823,Chip,54,,
53,2025-06-15 02:46:25,572.36,Varejo,CP,,,9259,64783841,Chip,54,,
54,2023-10-23 01:08:39,488.03,Varejo,CP,,,3043,93082945,PayPass,51,,
55,2023-08-07 07:35:08,950.39,Tecnologia,CNP,,,3998,82335844,eCommerce,38,,
56,2023-04-07 21:57:47,1065.1,Alimentação,CP,1.0,,6998,44545614,Chip,54,,
57,2023-05-18 17:53:53,227.85,Varejo,CP,11.0,,1770,82486112,Chip,54,,
58,2023-03-13 17:18:26,484.28,Tecnologia,CNP,,,8151,19152184,eCommerce,38,,
59,2025-06-17 14:48:33,1146.7,Entretenimento,CP,9.0,,3911,26731766,Swiped,59,,1.0
60,2025-01-15 21:29:30,206.39,Varejo,CP,4.0,,2105,35326182,Chip,54,,0.0
61,2025-06-04 07:59:09,471.49,Varejo,CP,,Samsung Pay,5947,94888438,Chip,54,,
62,2025-01-16 17:00:14,187.7,Entretenimento,CNP,,,2295,11183938,MasterPass,39,1.0,
63,2023-05-29 19:30:41,197.13,Alimentação,CNP,,,3553,41146261,MasterPass,39,,
64,2025-11-05 03:30:12,575.97,Tecnologia,CNP,,,9471,17477467,Recurring,36,,
65,2025-07-17 03:25:38,93.67,Alimentação,CP,,,5267,59846813,PayPass,51,,
66,2025-06-07 11:45:13,282.5,Saúde,CP,,,1664,54655573,PayPass,51,,
67,2025-08-28 01:09:52,189.58,Tecnologia,CP,2.0,,7607,19592556,PayPass,51,,
68,2025-11-10 11:03:43,936.88,Alimentação,CNP,,,2685,70403022,MasterPass,39,,
69,2023-01-30 00:07:55,95.07,Educação,CP,5.0,,2630,32253137,PayPass,51,,
70,2023-08-02 06:02:18,813.56,Tecnologia,CP,,,5737,59184866,Swiped,59,,
71,2023-02-03 17:00:46,458.24,Tecnologia,CP,8.0,,9635,40066754,Chip,54,,
72,2025-09-17 11:02:21,1167.26,Alimentação,CNP,,,1560,41158009,MasterPass,39,,
73,2023-04-05 18:10:38,869.05,Alimentação,CP,,,6149,12887324,Swiped,59,,0.0
74,2025-08-14 20:17:35,119.5,Tecnologia,CNP,,,7265,22386052,eCommerce,38,,
75,2025-07-18 04:20:56,445.79,Varejo,CNP,,,9312,61104954,eCommerce,38,,
76,2025-01-20 01:10:47,534.28,Tecnologia,CP,7.0,Apple Pay,3002,81343560,PayPass,51,,
77,2025-03-24 01:21:59,518.19,Varejo,CP,,Google Pay,4957,59682048,Swiped,59,,
78,2023-06-26 01:10:57,624.24,Varejo,CP,6.0,,9551,32290287,Swiped,59,,
79,2025-10-25 11:09:26,682.38,Alimentação,CP,,Google Pay,2469,23851608,Chip,54,,
80,2025-05-22 09:25:36,569.05,Tecnologia,CNP,,,3769,58925405,Recurring,36,,
81,2025-05-15 08:38:05,867.99,Varejo,CP,,Samsung Pay,8181,77351332,PayPass,51,,
82,2023-02-14 22:37:36,370.52,Varejo,CP,,,1689,97996255,PayPass,51,,0.0
83,2023-03-24 13:44:37,350.1,Tecnologia,CP,,,6886,22652601,Swiped,59,,0.0
84,2025-09-29 10:16:14,89.84,Tecnologia,CNP,,,1422,32535080,MasterPass,39,,
85,2023-04-02 17:09:52,900.65,Saúde,CP,,,5947,94888438,PayPass,51,,
86,2023-06-05 15:24:15,916.24,Tecnologia,CNP,,,5913,38636751,MasterPass,39,1.0,
87,2025-05-10 12:29:34,668.85,Alimentação,CNP,,,8299,18432380,Phone Order,35,1.0,
88,2025-02-15 00:22:47,1051.54,Varejo,CP,,,2061,35372745,Chip,54,,
89,2025-04-04 13:53:15,808.17,Tecnologia,CP,2.0,,1035,11601260,Swiped,59,,
90,2025-07-28 05:15:22,689.48,Varejo,CP,11.0,,7763,64914792,Swiped,59,,
91,2023-10-24 18:26:04,897.51,Varejo,CP,,,5174,84051135,Chip,54,,0.0
92,2025-05-07 16:46:58,102.83,Educação,CNP,,,8982,36700168,MasterPass,39,,
93,2023-03-14 20:51:19,26.73,Varejo,CP,5.0,,6719,87911601,PayPass,51,,
94,2025-06-01 00:17:15,920.24,Varejo,CP,,Samsung Pay,9854,46728656,PayPass,51,,
